gene,CNV
GADL1,GAIN
STT3B,GAIN
ZNF860,GAIN
GPD1L,GAIN
CMTM8,GAIN
DYNC1LI1,GAIN
CNOT10,GAIN
GLB1,GAIN
CRTAP,GAIN
SUSD5,GAIN
UBP1,GAIN
CLASP2,GAIN
PDCD6IP,GAIN
ARPP21,GAIN
STAC,GAIN
DCLK3,GAIN
TRANK1,GAIN
EPM2AIP1,GAIN
MLH1,GAIN
LRRFIP2,GAIN
GOLGA4,GAIN
C3orf35,GAIN
CTDSPL,GAIN
PLCD1,GAIN
ACAA1,GAIN
MYD88,GAIN
OXSR1,GAIN
SLC22A13,GAIN
XYLB,GAIN
SCN5A,GAIN
SCN11A,GAIN
WDR48,GAIN
GORASP1,GAIN
TTC21A,GAIN
CSRNP1,GAIN
XIRP1,GAIN
CX3CR1,GAIN
CCR8,GAIN
SLC25A38,GAIN
RPSA,GAIN
MOBP,GAIN
MYRIP,GAIN
EIF1B,GAIN
ENTPD3,GAIN
RPL14,GAIN
ZNF619,GAIN
ZNF620,GAIN
ZNF621,GAIN
ULK4,GAIN
TRAK1,GAIN
CCK,GAIN
LYZL4,GAIN
VIPR1,GAIN
SEC22C,GAIN
ZBTB47,GAIN
KLHL40,GAIN
CCDC13,GAIN
HIGD1A,GAIN
FAM198A,GAIN
POMGNT2,GAIN
SNRK,GAIN
ABHD5,GAIN
TOPAZ1,GAIN
TCAIM,GAIN
ZNF445,GAIN
ZNF852,GAIN
ZKSCAN7,GAIN
ZNF502,GAIN
ZNF501,GAIN
KIF15,GAIN
TMEM42,GAIN
ZDHHC3,GAIN
CDCP1,GAIN
TMEM158,GAIN
SACM1L,GAIN
SLC6A20,GAIN
LZTFL1,GAIN
FYCO1,GAIN
CCR2,GAIN
CCR5,GAIN
CCRL2,GAIN
RTP3,GAIN
LRRC2,GAIN
TDGF1,GAIN
ALS2CL,GAIN
TMIE,GAIN
MYL3,GAIN
PTH1R,GAIN
CCDC12,GAIN
NBEAL2,GAIN
NRADDP,GAIN
SETD2,GAIN
KLHL18,GAIN
PTPN23,GAIN
SCAP,GAIN
ELP6,GAIN
DHX30,GAIN
MAP4,GAIN
CDC25A,GAIN
CAMP,GAIN
NME6,GAIN
SPINK8,GAIN
FBXW12,GAIN
PLXNB1,GAIN
CCDC51,GAIN
TMA7,GAIN
ATRIP,GAIN
TREX1,GAIN
SHISA5,GAIN
PFKFB4,GAIN
UCN2,GAIN
UQCRC1,GAIN
TMEM89,GAIN
SLC26A6,GAIN
CELSR3,GAIN
IP6K2,GAIN
SLC25A20,GAIN
ARIH2OS,GAIN
ARIH2,GAIN
P4HTM,GAIN
WDR6,GAIN
DALRD3,GAIN
NDUFAF3,GAIN
IMPDH2,GAIN
USP19,GAIN
LAMB2,GAIN
CCDC71,GAIN
KLHDC8B,GAIN
C3orf84,GAIN
CCDC36,GAIN
USP4,GAIN
DAG1,GAIN
BSN,GAIN
MST1,GAIN
RNF123,GAIN
CDHR4,GAIN
SYNPR,LOH
C3orf49,LOH
THOC7,LOH
ATXN7,LOH
PSMD6,LOH
PRICKLE2,LOH
SLC25A26,LOH
LRIG1,LOH
KBTBD8,LOH
SUCLG2,LOH
FAM19A1,LOH
FAM19A4,LOH
EOGT,LOH
UBA3,LOH
ARL6IP5,LOH
FRMD4B,LOH
MITF,LOH
EIF4E3,LOH
PROK2,LOH
RYBP,LOH
SHQ1,LOH
SHQ1,GAIN
FRG2C,LOH
ZNF717,LOH
ROBO1,GAIN
ROBO1,LOH
GBE1,LOH
PROS1,LOH
ARL13B,LOH
EPHA6,LOH
ARL6,LOH
CRYBG3,LOH
GABRR3,LOH
OR5AC2,LOH
OR5H15,LOH
CPOX,LOH
ST3GAL6,LOH
DCBLD2,LOH
CMSS1,LOH
TBC1D23,LOH
LNP1,LOH
TMEM45A,LOH
ADGRG7,LOH
TFG,LOH
ABI3BP,LOH
IMPG2,LOH
SENP7,LOH
FAM172BP,LOH
TRMT10C,LOH
PCNP,LOH
RPL24,LOH
NXPE3,LOH
NFKBIZ,LOH
ALCAM,LOH
CCDC54,LOH
BBX,LOH
LINC00636,LOH
CD47,LOH
IFT57,LOH
HHLA2,LOH
MYH15,LOH
DZIP3,LOH
TRAT1,LOH
GUCA1C,LOH
MORC1,LOH
DPPA2,LOH
DPPA4,LOH
CD96,LOH
PLCXD2,LOH
PHLDB2,LOH
ABHD10,LOH
TAGLN3,LOH
GCSAM,LOH
SLC9C1,LOH
CD200,LOH
BTLA,LOH
ATG3,LOH
SLC35A5,LOH
CCDC80,LOH
BOC,LOH
CFAP44,LOH
SPICE1,LOH
SIDT1,LOH
NAA50,LOH
ATP6V1A,LOH
ZDHHC23,LOH
DRD3,LOH
ZNF80,LOH
ZBTB20,LOH
ZBTB20,LOSS
ZBTB20,LOH
TRH,GAIN
FAM86HP,GAIN
COL6A5,GAIN
PIK3R4,GAIN
ATP2C1,GAIN
ASTE1,GAIN
NEK11,GAIN
NUDT16,GAIN
MRPL3,GAIN
ACPP,GAIN
TMEM108,GAIN
BFSP2,GAIN
CDV3,GAIN
TOPBP1,GAIN
SRPRB,GAIN
RAB6B,GAIN
C3orf36,GAIN
SLCO2A1,GAIN
RYK,GAIN
ANAPC13,GAIN
CEP63,GAIN
KY,GAIN
EPHB1,GAIN
SI,LOH
SLITRK3,LOH
BCHE,LOH
ZBBX,LOH
PDCD10,LOH
SERPINI1,LOH
GOLIM4,LOH
EGFEM1P,LOH
MECOM,LOH
MECOM,GAIN
SDHAP1,LOH
TFRC,LOH
ZDHHC19,LOH
TCTEX1D2,LOH
RNF168,LOH
SMCO1,LOH
FBXO45,LOH
NRROS,LOH
PIGX,LOH
PAK2,LOH
SENP5,LOH
NCBP2,LOH
NCBP2-AS2,LOH
PIGZ,LOH
DLG1,LOH
BDH1,LOH
LOC220729,LOH
FYTTD1,LOH
IQCG,LOH
LMLN,LOH
CPLX1,LOSS
CPLX1,LOH
GAK,LOH
TMEM175,LOH
DGKQ,LOH
SLC26A1,LOH
IDUA,LOH
RNF212,LOH
SPON2,LOH
CTBP1,LOH
MAEA,LOH
